Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,0.9,10.80,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),Web & Application Server,Application Load Balancer,0,44.53,534.36,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,4287.84,51454.08,USD,"Operating system (Linux), Quantity (12), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (50 GB), Instance type (m5.4xlarge), General Purpose SSD (gp3) - IOPS (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
My Estimate,US East (N. Virginia),Application Servers,Amazon EC2,0,4287.84,51454.08,USD,"Operating system (Linux), Quantity (12), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (50 GB), Instance type (m5.4xlarge), General Purpose SSD (gp3) - IOPS (3000), General Purpose SSD (gp3) - Throughput (125 MBps)"
My Estimate,US East (N. Virginia),,Amazon Aurora MySQL-Compatible,0,5492.37,65908.44,USD,"Change records per statement (0.38), Nodes (8), Instance Type (db.r5.2xlarge), Instance Family (Memory optimized), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Storage amount (10 TB), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),Static assets,S3 Standard,0,2.75,33.00,USD,S3 Standard storage (100 GB per month)
My Estimate,US East (N. Virginia),Static assets,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,1098.216,13178.59,USD,"Number of Metrics (includes detailed and custom metrics) (100), Standard Logs: Data Ingested (2 TB), Number of Dashboards (10), Number of Standard Resolution Alarm Metrics (50)"
My Estimate,US East (N. Virginia),,Amazon Simple Notification Service (SNS),0,21.1,253.20,USD,Requests (1 million per month)
My Estimate,US East (N. Virginia),,Amazon ElastiCache,0,1722.8,20673.60,USD,( 4 instances of type Memcached  Memory optimized  cache r5.2xlarge  Reserved  No Upfront  1yr )
Global,All,Business support plan,AWS Support,0,1487.08 ,17844.96,USD,"Supports 24/7 phone, chat, and email access to Cloud Support Engineers for unlimited contacts, with and a response time of less than 1 hour."



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

I added additional EC2 instances in the Web Servers and Application Servers and deploy to all the AZs in us-east-1 region to improve resiliency. I also added an Elasticache cluster for improved performance. I increased the number of nodes for the Aurora DB for additional read capacity.
